Start_Time,Day,Night
3-1-2020,822,432
3-2-2020,2216,599
3-3-2020,2607,600
3-4-2020,2336,634
3-5-2020,2515,680
3-6-2020,2440,744
3-7-2020,1012,466
3-8-2020,746,380
3-9-2020,2084,666
3-10-2020,2778,853
3-11-2020,2241,677
3-12-2020,2600,691
3-13-2020,2358,943
3-14-2020,1310,510
3-15-2020,872,425
3-16-2020,1987,735
3-17-2020,1596,532
3-18-2020,2277,643
3-19-2020,3347,893
3-20-2020,3110,777
3-21-2020,1088,433
3-22-2020,1150,686
3-23-2020,3432,904
3-24-2020,2670,690
3-25-2020,2344,548
3-26-2020,2162,575
3-27-2020,2331,584
3-28-2020,827,407
3-29-2020,669,351
3-30-2020,1537,363
3-31-2020,1505,390
4-1-2020,1553,280
4-2-2020,2240,466
4-3-2020,2785,561
4-4-2020,1113,349
4-5-2020,1175,396
4-6-2020,3441,858
4-7-2020,2850,572
4-8-2020,2263,508
4-9-2020,3221,584
4-10-2020,2881,552
4-11-2020,979,334
4-12-2020,1068,351
4-13-2020,2962,565
4-14-2020,2475,358
4-15-2020,2781,451
4-16-2020,2632,405
4-17-2020,2682,362
4-18-2020,1089,390
4-19-2020,852,311
4-20-2020,2685,388
4-21-2020,2606,313
4-22-2020,2851,450
4-23-2020,2700,420
4-24-2020,3259,502
4-25-2020,1108,321
4-26-2020,911,314
4-27-2020,2787,393
4-28-2020,2631,432
4-29-2020,2876,399
4-30-2020,3283,509
5-1-2020,3412,423
5-2-2020,1201,350
5-3-2020,900,231
5-4-2020,1,1
5-5-2020,1944,176
5-6-2020,2081,163
5-7-2020,2875,340
5-8-2020,3449,516
5-9-2020,1231,365
5-10-2020,928,311
5-11-2020,3043,385
5-12-2020,2804,394
5-13-2020,2648,286
5-14-2020,2842,381
5-15-2020,3272,440
5-16-2020,1158,353
5-17-2020,1169,349
5-18-2020,3303,404
5-19-2020,3000,367
5-20-2020,3043,373
5-21-2020,3033,408
5-22-2020,3647,461
5-23-2020,1222,326
5-24-2020,1046,268
5-25-2020,2037,372
5-26-2020,3120,345
5-27-2020,3392,347
5-28-2020,3241,381
5-29-2020,3448,395
5-30-2020,1200,261
5-31-2020,885,290
6-1-2020,2823,322
6-2-2020,2912,306
6-3-2020,3141,306
6-4-2020,3257,414
6-5-2020,3337,459
6-6-2020,1295,302
6-7-2020,1082,335
6-8-2020,3229,380
6-9-2020,3361,356
6-10-2020,3312,363
6-11-2020,3499,393
6-12-2020,3779,423
6-13-2020,1458,352
6-14-2020,1104,330
6-15-2020,3367,373
6-16-2020,3475,356
6-17-2020,3413,385
6-18-2020,3555,342
6-19-2020,3888,468
6-20-2020,1618,378
6-21-2020,1263,376
6-22-2020,3473,451
6-23-2020,3682,358
6-24-2020,3461,418
6-25-2020,3613,398
6-26-2020,3867,492
6-27-2020,1484,393
6-28-2020,1226,407
6-29-2020,2021,272
6-30-2020,1167,143
