,State,Civil_Twilight,Accident_count,month
0,AL,Day,1108,3
1,AL,Day,878,4
2,AL,Day,1259,5
3,AL,Day,1523,6
4,AL,Night,185,3
5,AL,Night,83,4
6,AL,Night,82,5
7,AL,Night,69,6
8,AR,Day,40,3
9,AR,Day,31,4
10,AR,Day,32,5
11,AR,Day,68,6
12,AR,Night,9,3
13,AR,Night,4,4
14,AR,Night,1,5
15,AR,Night,4,6
16,AZ,Day,2091,3
17,AZ,Day,2843,4
18,AZ,Day,2963,5
19,AZ,Day,3154,6
20,AZ,Night,431,3
21,AZ,Night,494,4
22,AZ,Night,408,5
23,AZ,Night,416,6
24,CA,Day,19590,3
25,CA,Day,16447,4
26,CA,Day,16970,5
27,CA,Day,19802,6
28,CA,Night,8569,3
29,CA,Night,5513,4
30,CA,Night,4326,5
31,CA,Night,4832,6
32,CO,Day,1258,3
33,CO,Day,1597,4
34,CO,Day,1394,5
35,CO,Day,1936,6
36,CO,Night,252,3
37,CO,Night,197,4
38,CO,Night,112,5
39,CO,Night,120,6
40,CT,Day,376,3
41,CT,Day,379,4
42,CT,Day,349,5
43,CT,Day,388,6
44,CT,Night,150,3
45,CT,Night,153,4
46,CT,Night,53,5
47,CT,Night,51,6
48,DC,Day,127,3
49,DC,Day,319,4
50,DC,Day,276,5
51,DC,Day,214,6
52,DC,Night,21,3
53,DC,Night,42,4
54,DC,Night,29,5
55,DC,Night,18,6
56,DE,Day,174,3
57,DE,Day,248,4
58,DE,Day,178,5
59,DE,Day,194,6
60,DE,Night,35,3
61,DE,Night,52,4
62,DE,Night,39,5
63,DE,Night,27,6
64,FL,Day,4490,3
65,FL,Day,4828,4
66,FL,Day,5008,5
67,FL,Day,5937,6
68,FL,Night,1245,3
69,FL,Night,807,4
70,FL,Night,712,5
71,FL,Night,663,6
72,GA,Day,1270,3
73,GA,Day,1387,4
74,GA,Day,1489,5
75,GA,Day,1573,6
76,GA,Night,359,3
77,GA,Night,217,4
78,GA,Night,217,5
79,GA,Night,238,6
80,IA,Day,123,3
81,IA,Day,136,4
82,IA,Day,146,5
83,IA,Day,154,6
84,IA,Night,34,3
85,IA,Night,31,4
86,IA,Night,6,5
87,IA,Night,18,6
88,ID,Day,28,3
89,ID,Day,24,4
90,ID,Day,44,5
91,ID,Day,27,6
92,ID,Night,15,3
93,ID,Night,2,4
94,ID,Night,8,5
95,ID,Night,6,6
96,IL,Day,1167,3
97,IL,Day,1745,4
98,IL,Day,2118,5
99,IL,Day,2998,6
100,IL,Night,339,3
101,IL,Night,457,4
102,IL,Night,476,5
103,IL,Night,522,6
104,IN,Day,310,3
105,IN,Day,407,4
106,IN,Day,663,5
107,IN,Day,826,6
108,IN,Night,120,3
109,IN,Night,87,4
110,IN,Night,99,5
111,IN,Night,67,6
112,KS,Day,107,3
113,KS,Day,150,4
114,KS,Day,201,5
115,KS,Day,235,6
116,KS,Night,20,3
117,KS,Night,33,4
118,KS,Night,20,5
119,KS,Night,18,6
120,KY,Day,379,3
121,KY,Day,441,4
122,KY,Day,551,5
123,KY,Day,723,6
124,KY,Night,70,3
125,KY,Night,50,4
126,KY,Night,49,5
127,KY,Night,43,6
128,LA,Day,1259,3
129,LA,Day,1367,4
130,LA,Day,1439,5
131,LA,Day,1719,6
132,LA,Night,257,3
133,LA,Night,149,4
134,LA,Night,71,5
135,LA,Night,96,6
136,MA,Day,805,3
137,MA,Day,1014,4
138,MA,Day,928,5
139,MA,Day,1052,6
140,MA,Night,125,3
141,MA,Night,151,4
142,MA,Night,123,5
143,MA,Night,68,6
144,MD,Day,1328,3
145,MD,Day,2411,4
146,MD,Day,1876,5
147,MD,Day,1735,6
148,MD,Night,384,3
149,MD,Night,488,4
