,State,Civil_Twilight,Accident_count,month
0,AL,Day,1544,3
1,AL,Day,1566,4
2,AL,Day,1489,5
3,AL,Day,1470,6
4,AL,Day,1313,7
5,AL,Night,262,3
6,AL,Night,188,4
7,AL,Night,139,5
8,AL,Night,118,6
9,AL,Night,139,7
10,AR,Day,52,3
11,AR,Day,95,4
12,AR,Day,104,5
13,AR,Day,100,6
14,AR,Day,62,7
15,AR,Night,13,3
16,AR,Night,12,4
17,AR,Night,9,5
18,AR,Night,4,6
19,AR,Night,13,7
20,AZ,Day,1574,3
21,AZ,Day,1714,4
22,AZ,Day,1828,5
23,AZ,Day,1707,6
24,AZ,Day,1870,7
25,AZ,Night,251,3
26,AZ,Night,167,4
27,AZ,Night,133,5
28,AZ,Night,142,6
29,AZ,Night,260,7
30,CA,Day,8880,3
31,CA,Day,9503,4
32,CA,Day,10600,5
33,CA,Day,8654,6
34,CA,Day,7584,7
35,CA,Night,2778,3
36,CA,Night,1853,4
37,CA,Night,1845,5
38,CA,Night,1390,6
39,CA,Night,1395,7
40,CO,Day,1066,3
41,CO,Day,1298,4
42,CO,Day,1491,5
43,CO,Day,1283,6
44,CO,Day,1252,7
45,CO,Night,264,3
46,CO,Night,192,4
47,CO,Night,160,5
48,CO,Night,144,6
49,CO,Night,160,7
50,CT,Day,402,3
51,CT,Day,386,4
52,CT,Day,429,5
53,CT,Day,430,6
54,CT,Day,380,7
55,CT,Night,59,3
56,CT,Night,30,4
57,CT,Night,29,5
58,CT,Night,32,6
59,CT,Night,38,7
60,DC,Day,122,3
61,DC,Day,131,4
62,DC,Day,152,5
63,DC,Day,138,6
64,DC,Day,131,7
65,DC,Night,30,3
66,DC,Night,23,4
67,DC,Night,5,5
68,DC,Night,10,6
69,DC,Night,8,7
70,DE,Day,67,3
71,DE,Day,128,4
72,DE,Day,118,5
73,DE,Day,129,6
74,DE,Day,144,7
75,DE,Night,10,3
76,DE,Night,16,4
77,DE,Night,7,5
78,DE,Night,9,6
79,DE,Night,6,7
80,FL,Day,3609,3
81,FL,Day,4376,4
82,FL,Day,4349,5
83,FL,Day,4435,6
84,FL,Day,4283,7
85,FL,Night,1122,3
86,FL,Night,874,4
87,FL,Night,717,5
88,FL,Night,640,6
89,FL,Night,649,7
90,GA,Day,1574,3
91,GA,Day,1834,4
92,GA,Day,2113,5
93,GA,Day,1794,6
94,GA,Day,1318,7
95,GA,Night,463,3
96,GA,Night,362,4
97,GA,Night,239,5
98,GA,Night,232,6
99,GA,Night,237,7
100,IA,Day,126,3
101,IA,Day,144,4
102,IA,Day,176,5
103,IA,Day,155,6
104,IA,Day,182,7
105,IA,Night,29,3
106,IA,Night,19,4
107,IA,Night,14,5
108,IA,Night,9,6
109,IA,Night,10,7
110,ID,Day,21,3
111,ID,Day,17,4
112,ID,Day,42,5
113,ID,Day,30,6
114,ID,Day,44,7
115,ID,Night,7,3
116,ID,Night,8,4
117,ID,Night,2,5
118,ID,Night,9,6
119,ID,Night,10,7
120,IL,Day,1166,3
121,IL,Day,1440,4
122,IL,Day,1582,5
123,IL,Day,1384,6
124,IL,Day,1152,7
125,IL,Night,353,3
126,IL,Night,225,4
127,IL,Night,194,5
128,IL,Night,153,6
129,IL,Night,147,7
130,IN,Day,376,3
131,IN,Day,479,4
132,IN,Day,602,5
133,IN,Day,522,6
134,IN,Day,636,7
135,IN,Night,109,3
136,IN,Night,68,4
137,IN,Night,63,5
138,IN,Night,44,6
139,IN,Night,66,7
140,KS,Day,137,3
141,KS,Day,145,4
142,KS,Day,156,5
143,KS,Day,151,6
144,KS,Day,167,7
145,KS,Night,19,3
146,KS,Night,14,4
147,KS,Night,6,5
148,KS,Night,5,6
149,KS,Night,4,7
150,KY,Day,405,3
151,KY,Day,408,4
152,KY,Day,531,5
153,KY,Day,528,6
154,KY,Day,486,7
155,KY,Night,54,3
156,KY,Night,53,4
157,KY,Night,41,5
158,KY,Night,53,6
159,KY,Night,45,7
160,LA,Day,1441,3
161,LA,Day,1521,4
162,LA,Day,1500,5
163,LA,Day,1377,6
164,LA,Day,1393,7
165,LA,Night,209,3
166,LA,Night,131,4
167,LA,Night,154,5
168,LA,Night,110,6
169,LA,Night,95,7
170,MA,Day,621,3
171,MA,Day,685,4
172,MA,Day,759,5
173,MA,Day,627,6
174,MA,Day,671,7
175,MA,Night,79,3
176,MA,Night,42,4
177,MA,Night,19,5
178,MA,Night,17,6
179,MA,Night,18,7
180,MD,Day,834,3
181,MD,Day,742,4
182,MD,Day,944,5
183,MD,Day,930,6
184,MD,Day,995,7
185,MD,Night,245,3
186,MD,Night,136,4
187,MD,Night,76,5
188,MD,Night,64,6
189,MD,Night,79,7
190,ME,Day,50,3
191,ME,Day,30,4
192,ME,Day,38,5
193,ME,Day,52,6
194,ME,Day,76,7
195,ME,Night,7,3
196,ME,Night,10,4
197,ME,Night,10,5
198,ME,Night,9,6
199,ME,Night,3,7
200,MI,Day,1118,3
201,MI,Day,1254,4
202,MI,Day,1626,5
203,MI,Day,1469,6
204,MI,Day,1487,7
205,MI,Night,352,3
206,MI,Night,277,4
207,MI,Night,221,5
208,MI,Night,215,6
209,MI,Night,199,7
210,MN,Day,1350,3
211,MN,Day,1337,4
212,MN,Day,1211,5
213,MN,Day,1237,6
214,MN,Day,1201,7
215,MN,Night,442,3
216,MN,Night,172,4
217,MN,Night,151,5
218,MN,Night,125,6
219,MN,Night,103,7
220,MO,Day,661,3
221,MO,Day,884,4
222,MO,Day,808,5
223,MO,Day,658,6
224,MO,Day,610,7
225,MO,Night,130,3
226,MO,Night,75,4
227,MO,Night,51,5
